year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
4,1,1,0,,,0.375,0.534,0.567,0.648,0.296,0.655,0.248,0.293,0.393,0.225,0.473,0.493,0.313,0.407,0.311,MIN,1.0,2.0,0.4080300365815515,,2.3529718094312075,0.3352513501313027,0.5151473235006414,
5,1,1,0,,,0.414,0.52,0.429,0.464,0.376,0.895,0.497,0.034,0.315,0.386,0.405,0.907,0.432,0.459,0.335,MIN,0.0,2.0,0.378595353501005,0.7186081426083104,1.8231037789984856,0.4617567694891621,0.4712452832555561,1.3399729403320917
6,1,0,,,,0.32,0.498,0.324,0.481,0.382,0.559,0.418,0.136,0.433,0.381,0.503,0.52,0.375,0.541,0.277,MIN,,,0.36614755059689985,,1.8630340184651584,0.3851437820876,0.4652463674228814,
7,1,0,,,,0.513,0.389,0.467,0.345,0.032,0.533,0.327,0.508,0.59,0.701,0.801,0.74,0.185,0.393,0.257,MIN,,,0.418266113680562,0.7340949691973585,1.6829264153408563,0.3489513284887368,0.4588776667696059,2.173459505732787
8,1,0,,,,0.496,0.457,0.738,0.703,0.274,0.668,0.209,0.327,0.287,0.616,0.598,0.547,0.537,0.563,0.314,MIN,,,0.37499941134609543,0.7666957425599774,2.0985165049096457,0.3253323911022229,0.4745563970623029,2.344132580842618
9,1,0,,,,0.956,0.321,0.529,0.57,0.656,0.279,0.444,0.383,0.466,0.78,0.672,0.34,0.73,0.511,0.302,MIN,,,,,1.8120514440363356,0.37286983031100557,0.4542042787447754,
10,1,0,,,,0.719,0.814,0.395,0.406,0.613,0.459,0.425,0.436,0.281,0.743,0.679,0.353,0.591,0.511,0.35,MIN,,,0.4248694384529646,0.8088502133359022,1.66516013845918,0.4189201904117772,0.4752510295498386,1.8943855054062935
1,0,1,1,1,0,0.237,0.33,0.219,0.297,0.317,0.288,0.255,0.235,0.298,0.212,0.25,0.173,0.344,0.17,0.865,NYL,4.0,3.0,0.4177109253185205,,2.491679850916536,0.4413690464897702,0.6498256313872619,1.5832386875966915
2,0,1,1,0,,0.075,0.443,0.062,0.556,0.419,0.127,0.124,0.177,0.208,0.296,0.142,0.173,0.409,0.037,0.957,NYL,3.0,3.0,,,2.450847922618307,0.38241384064178646,0.6017739423238208,1.5662396339188354
3,0,1,1,1,0,0.237,0.376,0.086,0.362,0.398,0.218,0.242,0.266,0.253,0.217,0.074,0.207,0.34,0.126,0.878,NYL,4.0,4.0,0.43447564693412255,0.7154469413634392,2.7171679372319972,0.455057183755432,0.7081391635227755,1.635878796401232
4,0,0,,,,0.165,0.538,0.138,0.468,0.403,0.271,0.425,0.34,0.331,0.447,0.399,0.48,0.347,0.185,0.767,NYL,,,,,1.8677194881514023,0.45318869583193744,0.526625845911803,
5,0,1,1,0,,0.15,0.697,0.1,0.509,0.118,0.428,0.399,0.226,0.584,0.431,0.436,0.607,0.154,0.385,0.548,NYL,2.0,3.0,0.42010867619615305,0.7509697709177408,2.2743254849445664,0.5316219617486491,0.6001007567403087,1.950748671761227
6,0,1,0,,,0.201,0.661,0.0,0.369,0.145,0.236,0.32,0.186,0.438,0.312,0.287,0.52,0.081,0.111,0.569,NYL,0.0,2.0,0.4198802802358415,,1.8545215028161328,0.4034880495714778,0.532755992422077,
7,0,0,,,,0.438,0.697,0.205,0.29,0.349,0.734,0.32,0.327,0.416,0.701,0.405,0.487,0.367,0.467,0.483,NYL,,,0.379719417277657,,1.647522285283038,0.40950238263523586,0.4809930636330753,1.9019899525828379
8,0,1,0,,,0.269,0.819,0.214,0.375,0.548,0.891,0.301,0.613,0.624,0.714,0.409,0.827,0.664,0.326,0.448,NYL,1.0,2.0,0.4156737102112116,,2.076096097288285,0.33731397735380036,0.5459304263104566,
9,0,1,1,0,,0.446,0.891,0.405,0.549,0.554,0.607,0.353,0.38,0.478,0.677,0.365,0.587,0.653,0.281,0.477,NYL,3.0,3.0,0.41509665337253265,0.7452377547455948,1.9910116527226318,0.46182128599205297,0.5260589789842033,2.482153986858166
10,0,0,,,,0.274,0.869,0.181,0.464,0.478,0.59,0.379,0.535,0.371,0.799,0.318,0.48,0.61,0.393,0.541,NYL,,,0.40991187496103987,0.7965702016963748,1.731105218421892,0.43992289497627735,0.4684298802691408,2.4932550231297914
1,0,1,0,,,0.186,0.376,0.367,0.283,0.366,0.341,0.438,0.302,0.455,0.27,0.5,0.447,0.425,0.274,0.298,CON,1.0,2.0,0.4249443160721557,,2.2164006709030035,0.5601324110805798,0.6084182715836242,
2,0,0,,,,0.286,0.507,0.543,0.212,0.715,0.541,0.405,0.275,0.275,0.243,0.493,0.673,0.602,0.319,0.304,CON,,,0.39591388766665975,0.7274723951393157,1.796215190112734,0.46014690624534016,0.514562719278234,1.118996477864529
3,0,0,,,,0.429,0.376,0.371,0.191,0.581,0.21,0.327,0.239,0.534,0.31,0.443,0.36,0.583,0.274,0.279,CON,,,0.4216281052068421,,1.7639013160897918,0.4020804800845414,0.5203523682805342,1.6521018295773342
1,1,1,0,,,0.465,0.281,0.157,0.256,0.527,0.092,0.183,0.226,0.376,0.18,0.331,0.18,0.544,0.148,0.513,PHO,0.0,2.0,0.42186049424899674,0.78099829912119,1.8253319861936983,0.37117599335018775,0.5072842253678189,2.61526547676293
2,1,0,,,,0.286,0.176,0.276,0.423,0.565,0.485,0.49,0.17,0.371,0.347,0.459,0.573,0.49,0.415,0.394,PHO,,,0.3436932632548189,,1.6860798654672162,0.3713607267679762,0.4121166484573805,
3,1,0,,,,0.167,0.172,0.238,0.126,0.43,0.406,0.203,0.163,0.236,0.331,0.486,0.473,0.39,0.415,0.408,PHO,,,0.41048685727767864,0.7495787104392642,1.2950851550828575,0.32994211054921396,0.42160136403043125,1.662434212316367
4,1,0,,,,0.211,0.244,0.548,0.242,0.661,0.31,0.314,0.125,0.202,0.646,0.409,0.52,0.849,0.556,0.431,PHO,,,0.35699938136288306,,1.252715612388751,0.31916631479332797,0.4019392534040731,
5,1,0,,,,0.312,0.588,0.105,0.379,0.511,0.245,0.484,0.074,0.236,0.381,0.23,0.193,0.564,0.489,0.39,PHO,,,0.42165073783534257,,1.7436697438681457,0.43066637077449377,0.4742021186432531,1.5932956052540121
6,1,0,,,,0.542,0.525,0.476,0.543,0.301,0.476,0.758,0.038,0.292,0.365,0.277,0.453,0.359,0.304,0.33,PHO,,,0.4098661961771211,0.7412091620296364,1.8982355020359785,0.7187839470632627,0.4926893272751329,1.709149598821247
7,1,0,,,,0.521,0.919,0.438,0.853,0.473,0.148,0.418,0.678,0.792,0.815,0.642,0.227,0.568,0.407,0.343,PHO,,,0.42389020611139483,,2.246324079012035,0.42928064451656434,0.4900593890878876,2.4189132443358
8,1,1,1,1,1,0.69,1.0,0.176,1.0,0.527,0.341,0.627,1.0,1.0,1.0,0.811,0.313,0.792,0.281,0.367,PHO,7.0,2.0,,0.8097749732694524,3.4060000206279426,0.7763431530755319,0.6787364655029102,
9,1,0,,,,0.736,0.76,0.633,0.58,0.242,0.354,0.608,0.85,0.972,0.77,0.885,0.247,0.425,0.43,0.433,PHO,,,0.42776380880132897,,1.9117130268370963,0.5308724767772955,0.4647330466794887,1.7548705312816433
10,1,1,1,1,1,0.685,0.882,0.2,0.802,0.204,0.402,0.771,0.655,0.865,0.786,0.74,0.42,0.27,0.533,0.433,PHO,7.0,4.0,0.4663310860396805,0.8557251822108954,3.171405671644165,0.7818385412967568,0.6720774023381172,1.67032650583476
1,1,0,,,,0.552,0.376,0.319,0.307,0.419,0.808,0.196,0.295,0.225,0.209,0.334,0.533,0.544,0.437,0.374,POR,,,0.4018191094846282,,1.6322556100861014,0.31587970914263375,0.4767981019517371,1.6337774357219417
2,1,0,,,,0.346,0.498,0.276,0.208,0.306,0.402,0.281,0.213,0.427,0.519,0.382,0.64,0.324,0.541,0.397,POR,,,0.3911942865357828,,1.521339714112336,0.36544590793941345,0.46237398635757737,2.073213986656481
3,1,0,,,,0.23,0.294,0.31,0.348,0.28,0.371,0.373,0.074,0.376,0.294,0.331,0.5,0.456,0.504,0.352,POR,,,0.4140069979020169,0.7455717696070037,1.593459977096944,0.39993997678299664,0.432700618858721,2.0601081896505646
1,1,1,0,,,0.438,0.362,0.695,0.604,0.78,0.218,0.614,0.23,0.298,0.169,0.389,0.193,0.517,0.333,0.343,SAC,0.0,2.0,0.4237470662651066,0.6898585036593073,2.482671287480894,0.6601096075096489,0.5476952413382107,1.4430160220574482
2,1,1,1,0,,0.361,0.457,0.629,0.573,0.478,0.376,0.621,0.19,0.427,0.251,0.365,0.427,0.351,0.533,0.377,SAC,3.0,2.0,0.4211635002969041,,2.7729565690245583,0.6862903380153339,0.5961835474983206,
3,1,0,,,,0.446,0.226,0.281,0.375,0.323,0.21,0.301,0.309,0.478,0.413,0.355,0.24,0.409,0.422,0.429,SAC,,,,,2.1351305002884726,0.4142008484319223,0.5332838763811009,
4,1,1,1,0,,0.38,0.398,0.51,0.608,0.591,0.231,0.386,0.34,0.438,0.487,0.432,0.18,0.718,0.519,0.486,SAC,3.0,3.0,0.39918546441447905,0.6880448742393173,2.359318258315266,0.5079728516562475,0.5687211855062024,
5,1,1,1,0,,0.327,0.303,0.7,0.44,0.683,0.336,0.359,0.32,0.242,0.288,0.422,0.293,0.784,0.341,0.446,SAC,3.0,3.0,0.4135683650235862,,2.127287125883597,0.5165329554961556,0.5512596814123465,
6,1,1,1,1,1,0.61,0.303,0.605,0.468,0.629,0.402,0.294,0.136,0.034,0.336,0.253,0.253,0.896,0.452,0.434,SAC,7.0,1.0,0.4143603837277888,0.7141539382274629,2.244992786249484,0.4160456166563066,0.5904934146244668,
7,1,1,1,1,0,0.659,0.43,0.838,0.406,0.769,0.585,0.163,0.43,0.152,0.418,0.402,0.313,0.938,0.533,0.447,SAC,6.0,3.0,0.41065473149857695,,2.1889828062718553,0.3372289383713318,0.5613954868906086,2.382067545610578
8,1,1,0,,,0.668,0.412,1.0,0.502,0.742,0.886,0.248,0.519,0.23,0.399,0.52,0.513,1.0,0.519,0.421,SAC,1.0,2.0,,,1.8015284252485935,0.3880016345001525,0.49577521055643703,3.2455615711826153
9,1,1,0,,,0.84,0.48,0.695,0.283,0.71,0.777,0.092,0.508,0.23,0.529,0.652,0.467,0.903,1.0,0.404,SAC,1.0,2.0,0.41978643479081607,,1.6515089710188784,0.23258117339518877,0.4552417227461003,2.416571809142685
10,1,0,,,,0.666,0.317,0.71,0.512,0.548,0.769,0.229,0.647,0.331,0.357,0.807,0.433,0.718,0.563,0.367,SAC,,,0.4199529273865099,,1.839851449609813,0.26924654953206695,0.44028239981208533,2.9732281988064555
4,1,0,,,,0.646,0.14,0.514,0.13,0.0,0.459,0.68,0.374,0.685,0.571,0.48,0.52,0.131,0.511,0.59,SAS,,,0.38136668607981006,0.7364419095749002,1.6793153575363857,0.6126181136519195,0.5274373267352218,2.697847952225281
5,1,0,,,,0.385,0.077,0.286,0.352,0.457,0.459,0.281,0.345,0.32,0.378,0.632,0.553,0.394,0.43,0.422,SAS,,,0.4099739886889611,,1.5945659775549232,0.2720424280631648,0.4628081329827926,2.2017989830307756
6,1,0,,,,0.443,0.217,0.067,0.147,0.043,0.555,0.176,0.208,0.472,0.362,0.591,0.573,0.151,0.57,0.384,SAS,,,0.39668812367094836,,1.720475053269801,0.1652972220429982,0.46579490336636636,1.8090142101554882
7,1,0,,,,0.492,0.575,0.533,0.512,0.317,0.349,0.131,0.322,0.59,0.788,0.581,0.38,0.347,0.43,0.338,SAS,,,0.40145539306390077,0.7756799266473005,1.9314760409111793,0.22710231321120292,0.47295495671030663,2.578124084590499
8,1,1,1,0,,0.262,0.656,0.386,0.604,0.516,0.655,0.438,0.311,0.528,0.553,0.432,0.4,0.745,0.489,0.352,SAS,2.0,3.0,0.42121192229177745,0.7907502566270985,2.7623926138270933,0.5673892663475288,0.6142468621400186,2.346056666327671
9,1,1,1,1,0,0.545,0.548,0.019,0.72,0.457,0.511,0.569,0.376,0.685,0.661,0.378,0.54,0.533,0.281,0.387,SAS,4.0,5.0,,,2.9606953489474357,0.6323024677053283,0.6718663216642486,
10,1,1,0,,,0.38,0.878,0.186,0.71,0.376,0.441,0.346,0.412,0.545,0.68,0.476,0.473,0.432,0.363,0.349,SAS,1.0,2.0,0.43062330398974696,0.7888732727651122,2.4453791379401597,0.409160409291346,0.5755762060545183,2.2411020217535027
1,1,0,,,,0.223,0.213,0.067,0.0,0.366,0.511,0.196,0.043,0.118,0.407,0.399,0.58,0.537,0.385,0.421,SEA,,,0.3681848817560399,,1.3206048009684637,0.28466217805325056,0.44354500929854485,1.0648614393264135
2,1,0,,,,0.332,0.299,0.305,0.075,0.462,0.1,0.418,0.022,0.163,0.5,0.351,0.207,0.498,0.415,0.187,SEA,,,0.36949156991194054,0.6738857671486103,1.3596339388671725,0.5157774778334566,0.4593653908367414,1.2243838480960019
3,1,1,0,,,0.179,0.543,0.571,0.423,0.511,0.301,0.575,0.06,0.225,0.251,0.338,0.38,0.544,0.4,0.269,SEA,0.0,2.0,0.3895603606557587,0.7503558284182679,1.9853689380753021,0.6028326844900576,0.5059881185973912,1.5013808973852767
4,1,0,,,,0.237,0.471,0.476,0.539,0.242,0.249,0.49,0.273,0.478,0.323,0.23,0.32,0.266,0.244,0.314,SEA,,,0.4170392257835734,,1.9302832103358525,0.5113761791580599,0.4840573192109378,1.8143093531923355
5,1,1,1,1,1,0.501,0.475,0.514,0.553,0.618,0.397,0.444,0.17,0.202,0.296,0.402,0.367,0.529,0.489,0.38,SEA,6.0,2.0,0.42371334117622544,0.7712235403969434,2.5863107546207464,0.6377878735838373,0.6447367543493209,1.1672349958289092
6,1,1,0,,,0.53,0.362,0.386,0.444,0.075,0.472,0.621,0.233,0.376,0.315,0.608,0.467,0.185,0.615,0.464,SEA,1.0,2.0,0.4270060308190014,,2.0629592451285856,0.5893663727592194,0.5455505476733683,1.1073403086497398
7,1,1,0,,,0.588,0.443,0.405,0.423,0.242,0.707,0.418,0.378,0.309,0.376,0.446,0.667,0.367,0.326,0.437,SEA,1.0,2.0,0.42564296306423405,,1.7223401656284758,0.532338102090327,0.5005646833476746,1.510596402195235
8,1,1,0,,,0.596,0.733,0.486,0.488,0.296,0.546,0.575,0.477,0.371,0.513,0.686,0.5,0.405,0.304,0.386,SEA,0.0,2.0,0.41581065870814327,,1.9480304391559615,0.5627892317135476,0.5018816797656421,1.2783959905111293
9,1,1,0,,,0.627,0.367,0.467,0.478,0.441,0.515,0.503,0.501,0.365,0.511,0.372,0.44,0.483,0.326,0.411,SEA,1.0,2.0,0.41364517033329185,,2.046362627568146,0.5406041047702211,0.543977099685154,2.046725446023822
10,1,1,0,,,0.576,0.493,0.352,0.498,0.478,0.642,0.569,0.604,0.365,0.474,0.436,0.52,0.637,0.444,0.378,SEA,1.0,2.0,0.39049458131659703,,2.3662204937258045,0.5397108973844559,0.588623412335898,2.5216579376946533
1,1,0,,,,0.777,0.118,0.505,0.451,0.145,0.594,0.614,0.298,0.258,0.082,0.389,0.693,0.181,0.304,0.227,SAS,,,,,2.3043789552744154,0.5149193953288514,0.5177400876791783,2.195192183434296
2,1,1,0,,,0.499,0.072,0.252,0.457,0.081,0.371,0.608,0.255,0.433,0.167,0.304,0.52,0.0,0.57,0.262,SAS,0.0,2.0,,0.765825682833582,2.410133384946472,0.701858677206434,0.6000238983311559,2.273237472157064
3,1,1,1,,,0.908,0.122,0.5,0.3,0.22,0.498,0.752,0.139,0.528,0.206,0.341,0.42,0.208,0.578,0.303,SAS,2.0,3.0,0.4361059969666122,0.7624309379073194,2.50598225691041,0.8344908674913708,0.6628448102688779,2.2545188454918748
1,0,1,0,,,0.264,0.213,0.276,0.447,0.312,0.428,0.412,0.183,0.18,0.119,0.422,0.427,0.255,0.23,0.925,WAS,0.0,2.0,0.4446005206748438,,2.285628406844436,0.5815477933251879,0.5879140870999159,3.677438538814718
2,0,0,,,,0.085,0.249,0.543,0.116,0.376,0.38,0.418,0.208,0.36,0.45,0.334,0.427,0.247,0.237,0.938,WAS,,,0.36785641242649336,0.6369075117055364,1.4984992861268005,0.5275339117024838,0.4863450630280074,3.6002243516978125
3,0,1,1,,,0.022,0.462,0.419,0.43,0.183,0.205,0.203,0.293,0.236,0.299,0.182,0.267,0.197,0.222,1.0,WAS,3.0,2.0,,,2.286809812433465,0.3857395415661114,0.568355733769423,3.816703529638166
4,0,0,,,,0.092,0.43,0.667,0.608,0.14,0.236,0.235,0.374,0.376,0.566,0.686,0.36,0.301,0.356,0.898,WAS,,,0.39350921095088504,,1.999245006330004,0.3295151588071055,0.485380576750301,
5,0,1,0,,,0.465,0.195,0.452,0.263,0.366,0.07,0.425,0.246,0.388,0.537,0.493,0.267,0.394,0.296,0.778,WAS,1.0,2.0,0.4084055336122797,,1.7036665036352374,0.5061301268532603,0.520791083501639,2.3857202464586895
6,0,0,,,,0.186,0.538,0.114,0.433,0.392,0.118,0.085,0.264,0.0,0.503,0.53,0.053,0.44,0.274,0.565,WAS,,,0.42739643366887725,,1.9343691842131323,0.26983630682053344,0.5236758128439221,2.2216956390026206
7,0,1,0,,,0.596,0.566,0.419,0.635,0.64,0.581,0.327,0.532,0.303,0.405,0.659,0.367,0.707,0.133,0.375,WAS,0.0,2.0,0.45207275286915793,0.7530643128717304,2.209528856275031,0.4507473031765477,0.546404085490257,
8,0,0,,,,0.896,0.457,0.443,0.28,0.511,0.712,0.458,0.459,0.652,0.683,0.544,0.393,0.73,0.237,0.375,WAS,,,0.38555808607729886,,1.3888679807280748,0.43334124388448,0.48810881084054103,2.0466788308861883
9,0,0,,,,0.46,0.457,0.571,0.317,0.29,1.0,0.196,0.477,0.219,0.582,0.52,0.78,0.541,0.556,0.481,WAS,,,0.40177934424209727,,1.6567246742373407,0.325281937317673,0.46833908239157673,1.3190814642827666
10,0,1,0,,,0.867,0.348,0.695,0.215,0.683,0.869,0.359,0.365,0.309,0.587,0.459,0.787,0.718,0.63,0.67,WAS,0.0,2.0,0.42051763341965126,0.7110026624178992,1.7843081333247486,0.4306344577165487,0.5298093219534532,1.3051757176333818
